Name,Pillar (auto),Discipline,Line,Importance,Level,Keystone,Related To,Regressions,Progressions,Also Appears In,Variant Of,Session Role,Notes,,,,,,,,,,,,,,
Bear Walk,Flocomotion,Ground Locomotion,Quadrupedal Forward,1,2,TRUE,,,,,,,Quadrupedal locomotion base. In nearly every warm-up.,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Bear Walk - Sexy,Flocomotion,Ground Locomotion,Quadrupedal Forward,3,3,FALSE,,,,,Bear Walk,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Bear Walk - Drunk,Flocomotion,Ground Locomotion,Quadrupedal Forward,3,3,FALSE,,,,,Bear Walk,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Bear Walk - Sideways,Flocomotion,Ground Locomotion,Lateral / Multi-directional,3,2,FALSE,,,,,Bear Walk,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Monkey Crawl,Flocomotion,Ground Locomotion,Lateral / Multi-directional,1,2,TRUE,,,,,,,Quadrupedal locomotion base.,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Monkey Crawl - High,Flocomotion,Ground Locomotion,Lateral / Multi-directional,1,2,FALSE,,,,,Monkey Crawl,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Monkey Crawl - Toe Click,Flocomotion,Ground Locomotion,Lateral / Multi-directional,3,4,FALSE,,,,,Monkey Crawl,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Monkey Crouch,Flocomotion,Ground Locomotion,Lateral / Multi-directional,3,2,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Wallaby,Flocomotion,Ground Locomotion,Quadrupedal Forward,1,2,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Surfer Crawl,Flocomotion,Ground Locomotion,Lateral / Multi-directional,3,2,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Cat Crawl,Flocomotion,Ground Locomotion,Quadrupedal Forward,2,2,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Cat Crawl - Spinal Wave,Flocomotion,Ground Locomotion,Quadrupedal Forward,3,6,FALSE,,,,,Cat Crawl,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Cross Step Lateral Crawl,Flocomotion,Ground Locomotion,Lateral / Multi-directional,3,2,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Inchworm,Flocomotion,Ground Locomotion,Quadrupedal Forward,3,2,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Crab Walk,Flocomotion,Ground Locomotion,Lateral / Multi-directional,2,4,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Cross Sweep,Flocomotion,Ground Locomotion,Quadrupedal Forward,3,3,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Bridge Walk,Flocomotion,Ground Locomotion,Lateral / Multi-directional,3,8,FALSE,,,,Spinal Mobility - Spinal Extension & Bridging,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Kong,Flocomotion,Ground Locomotion,Quadrupedal Forward,3,6,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Ape Crawl,Flocomotion,Ground Locomotion,Quadrupedal Forward,3,3,FALSE,,,,,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Lizard Crawl,Flocomotion,Ground Locomotion,Quadrupedal Forward,1,8,TRUE,,,,Pressing Strength - Horizontal Press,,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Lizard Crawl - Push Up,Flocomotion,Ground Locomotion,Quadrupedal Forward,1,5,FALSE,,,,Pressing Strength - Horizontal Press,Lizard Crawl,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Lizard Crawl - High,Flocomotion,Ground Locomotion,Quadrupedal Forward,1,3,FALSE,,,,Pressing Strength - Horizontal Press,Lizard Crawl,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
Lizard Crawl - Low,Flocomotion,Ground Locomotion,Quadrupedal Forward,1,6,FALSE,,,,Pressing Strength - Horizontal Press,Lizard Crawl,,,,,,,,,,Quadrupedal Forward,Lateral / Multi-directional,Rolling Locomotion,Bipedal Forward,Vaulting,,
