LineKey (Discipline - Line),Pillar,Discipline,Line,,Pillars,Levels,Importance,Class Types,Splits,Session Types,,Importance legend
Hanging & Pulling - Passive / Active Hang,Strength & Capacity,Hanging & Pulling,Passive / Active Hang,,Strength & Capacity,1,1,Lower,Legs,Warm Up,,1 = Every program
Hanging & Pulling - Vertical Pull,Strength & Capacity,Hanging & Pulling,Vertical Pull,,Mobility,2,2,Upper,Bent Arm,Skill,,2 = Every second program
Hanging & Pulling - Horizontal Pull,Strength & Capacity,Hanging & Pulling,Horizontal Pull,,Handstands & Balance,3,3,Full,Straight Arm,Strength,,3 = Occasional
Hanging & Pulling - Pull-to-Press Transition,Strength & Capacity,Hanging & Pulling,Pull-to-Press Transition,,Flocomotion,4,,,,Game,,
Hanging & Pulling - Swinging & Brachiation,Strength & Capacity,Hanging & Pulling,Swinging & Brachiation,,Object Play,5,,,,Mobility,,
Straight Arm Strength - Front Lever Line,Strength & Capacity,Straight Arm Strength,Front Lever Line,,,6,,,,Conditioning,,
Straight Arm Strength - Back Lever Line,Strength & Capacity,Straight Arm Strength,Back Lever Line,,,7,,,,Prehab,,
Straight Arm Strength - Planche Line,Strength & Capacity,Straight Arm Strength,Planche Line,,,8,,,,,,
Straight Arm Strength - Side Lever Line,Strength & Capacity,Straight Arm Strength,Side Lever Line,,,9,,,,,,
Straight Arm Strength - Straight Arm Rotation,Strength & Capacity,Straight Arm Strength,Straight Arm Rotation,,,10,,,,,,
Core & Midline - Hanging Core & Compression,Strength & Capacity,Core & Midline,Hanging Core & Compression,,,,,,,,,
Core & Midline - Rotational & Loaded Core,Strength & Capacity,Core & Midline,Rotational & Loaded Core,,,,,,,,,
Pressing Strength - Horizontal Press,Strength & Capacity,Pressing Strength,Horizontal Press,,,,,,,,,
Pressing Strength - Dip Press,Strength & Capacity,Pressing Strength,Dip Press,,,,,,,,,
Pressing Strength - Vertical Press,Strength & Capacity,Pressing Strength,Vertical Press,,,,,,,,,
Pressing Strength - Bent-Arm to Straight-Arm Press,Strength & Capacity,Pressing Strength,Bent-Arm to Straight-Arm Press,,,,,,,,,
Pressing Strength - Arms & Accessory,Strength & Capacity,Pressing Strength,Arms & Accessory,,,,,,,,,
Loaded Lower Body Strength - Bilateral Squat,Strength & Capacity,Loaded Lower Body Strength,Bilateral Squat,,,,,,,,,
Loaded Lower Body Strength - Single-Leg Squat & Lunge,Strength & Capacity,Loaded Lower Body Strength,Single-Leg Squat & Lunge,,,,,,,,,
Loaded Lower Body Strength - Lateral / Mobility Squat,Strength & Capacity,Loaded Lower Body Strength,Lateral / Mobility Squat,,,,,,,,,
Loaded Lower Body Strength - Hip Hinge,Strength & Capacity,Loaded Lower Body Strength,Hip Hinge,,,,,,,,,
Loaded Lower Body Strength - Posterior Chain (knee),Strength & Capacity,Loaded Lower Body Strength,Posterior Chain (knee),,,,,,,,,
Loaded Lower Body Strength - Anterior Chain (knee),Strength & Capacity,Loaded Lower Body Strength,Anterior Chain (knee),,,,,,,,,
Bounciness & Elastic Power - Vertical Jump,Strength & Capacity,Bounciness & Elastic Power,Vertical Jump,,,,,,,,,
Bounciness & Elastic Power - Horizontal Jump,Strength & Capacity,Bounciness & Elastic Power,Horizontal Jump,,,,,,,,,
Hand Balancing & Inversion - Bent-Arm Balances,Handstands & Balance,Hand Balancing & Inversion,Bent-Arm Balances,,,,,,,,,
Hand Balancing & Inversion - Static Inversion,Handstands & Balance,Hand Balancing & Inversion,Static Inversion,,,,,,,,,
Hand Balancing & Inversion - Shaped Handstands,Handstands & Balance,Hand Balancing & Inversion,Shaped Handstands,,,,,,,,,
Hand Balancing & Inversion - Press Entries,Handstands & Balance,Hand Balancing & Inversion,Press Entries,,,,,,,,,
Hip & Leg Mobility - Front Split Line,Mobility,Hip & Leg Mobility,Front Split Line,,,,,,,,,
Hip & Leg Mobility - Middle Split Line,Mobility,Hip & Leg Mobility,Middle Split Line,,,,,,,,,
Hip & Leg Mobility - Hip Rotation,Mobility,Hip & Leg Mobility,Hip Rotation,,,,,,,,,
Hip & Leg Mobility - Squat Position,Mobility,Hip & Leg Mobility,Squat Position,,,,,,,,,
Hip & Leg Mobility - Stance Positions,Mobility,Hip & Leg Mobility,Stance Positions,,,,,,,,,
Shoulder & Thoracic Mobility - Scapular Control,Mobility,Shoulder & Thoracic Mobility,Scapular Control,,,,,,,,,
Shoulder & Thoracic Mobility - Shoulder Rotation,Mobility,Shoulder & Thoracic Mobility,Shoulder Rotation,,,,,,,,,
Shoulder & Thoracic Mobility - Chest & Thoracic Opening,Mobility,Shoulder & Thoracic Mobility,Chest & Thoracic Opening,,,,,,,,,
Shoulder & Thoracic Mobility - Lat & Side Body,Mobility,Shoulder & Thoracic Mobility,Lat & Side Body,,,,,,,,,
Spinal Mobility - Spinal Extension & Bridging,Mobility,Spinal Mobility,Spinal Extension & Bridging,,,,,,,,,
Spinal Mobility - Spinal Waves,Mobility,Spinal Mobility,Spinal Waves,,,,,,,,,
Ground Locomotion - Quadrupedal Forward,Flocomotion,Ground Locomotion,Quadrupedal Forward,,,,,,,,,
Ground Locomotion - Lateral / Multi-directional,Flocomotion,Ground Locomotion,Lateral / Multi-directional,,,,,,,,,
Ground Locomotion - Rolling Locomotion,Flocomotion,Ground Locomotion,Rolling Locomotion,,,,,,,,,
Ground Locomotion - Bipedal Forward,Flocomotion,Ground Locomotion,Bipedal Forward,,,,,,,,,
Inverted & Rotational Locomotion - Walkovers,Flocomotion,Inverted & Rotational Locomotion,Walkovers,,,,,,,,,
Inverted & Rotational Locomotion - Cartwheel Family,Flocomotion,Inverted & Rotational Locomotion,Cartwheel Family,,,,,,,,,
Inverted & Rotational Locomotion - Flips & Handsprings,Flocomotion,Inverted & Rotational Locomotion,Flips & Handsprings,,,,,,,,,
Rhythm & Flow - Rhythmic Foundations,Flocomotion,Rhythm & Flow,Rhythmic Foundations,,,,,,,,,
Rhythm & Flow - Floor Flow,Flocomotion,Rhythm & Flow,Floor Flow,,,,,,,,,
Rhythm & Flow - Kicks,Flocomotion,Rhythm & Flow,Kicks,,,,,,,,,
Rhythm & Flow - Acrobatics,Flocomotion,Rhythm & Flow,Acrobatics,,,,,,,,,
Rhythm & Flow - Dance / Musical Movement,Flocomotion,Rhythm & Flow,Dance / Musical Movement,,,,,,,,,
Partner & Connection - Team Work & Connection,Flocomotion,Partner & Connection,Team Work & Connection,,,,,,,,,
Partner & Connection - Rough Housing,Flocomotion,Partner & Connection,Rough Housing,,,,,,,,,
Partner & Connection - Floor & Flow Games,Flocomotion,Partner & Connection,Floor & Flow Games,,,,,,,,,
Object Play - Staff,Object Play,Object Play,Staff,,,,,,,,,
Object Play - Juggling,Object Play,Object Play,Juggling,,,,,,,,,
Object Play - Ball Skills,Object Play,Object Play,Ball Skills,,,,,,,,,
