Sheet line,Name,Current Discipline,Current Line,Proposed Discipline,Proposed Line
365,Front Splits,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
366,Front Splits - Active,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
367,Front Splits - Sliders,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
368,Front Splits - Knee Lift Contract and Relax,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
360,Long Lunge - Hold,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
361,Long Lunge - Pulses,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
362,Long Lunge - Contract and Relax,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
356,Couch Stretch,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
357,Couch Stretch - Super,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
358,Couch Stretch - Arching,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
359,Heavy Hip Flexor Stretch,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
370,Kneeling Runners Stretch,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
371,Thomas Stretch,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
369,Dancers Pose,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
337,Elephant Walk,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
338,Elephant Walk - Slant Board,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
349,Forward Fold Pulses,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
350,Partner Forward Fold,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
351,Partner Hamstring Stretch,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
342,Leg Swings - Front,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
364,Leg Swings - Back,Foundational Resting Positions,Hip Opening (frontal),Foundational Resting Positions,Hip Opening (sagittal)
339,Jefferson Curl,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge
340,Jefferson Curl - Wide Leg,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge
341,Jefferson Curl - to Squat,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge
345,Good Morning,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge
346,Good Morning - Single Leg,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge
347,Good Morning - Wide Leg,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge
348,RDL,Foundational Resting Positions,Hip Opening (frontal),Loaded Lower Body Strength,Hip Hinge
435,Kettlebell Swing,Lever & Straight-Arm Body Control,Planche Line,Loaded Lower Body Strength,Hip Hinge
190,Front Lever,Hanging & Pulling Above the Bar,Horizontal Pull,Lever & Straight-Arm Body Control,Front Lever Line
191,Front Lever - Straddle,Hanging & Pulling Above the Bar,Horizontal Pull,Lever & Straight-Arm Body Control,Front Lever Line
192,Front Lever - Tuck,Hanging & Pulling Above the Bar,Horizontal Pull,Lever & Straight-Arm Body Control,Front Lever Line
194,Front Lever Pull,Hanging & Pulling Above the Bar,Horizontal Pull,Lever & Straight-Arm Body Control,Front Lever Line
195,Front Lever Pull - Tuck,Hanging & Pulling Above the Bar,Horizontal Pull,Lever & Straight-Arm Body Control,Front Lever Line
196,Front Lever Pull - Straddle,Hanging & Pulling Above the Bar,Horizontal Pull,Lever & Straight-Arm Body Control,Front Lever Line
197,Front Lever - Deadlift,Hanging & Pulling Above the Bar,Horizontal Pull,Lever & Straight-Arm Body Control,Front Lever Line
