Sheet row,Name,Discipline (C),Line (D),Also Appears In (K)
2,Bear Walk,Ground Locomotion,Quadrupedal Forward,
3,Bear Walk - Sexy,Ground Locomotion,Quadrupedal Forward,
4,Bear Walk - Drunk,Ground Locomotion,Quadrupedal Forward,
5,Bear Walk - Sideways,Ground Locomotion,Lateral / Multi-directional,
6,Monkey Crawl,Ground Locomotion,Lateral / Multi-directional,
7,Monkey Crawl - High,Ground Locomotion,Lateral / Multi-directional,
8,Monkey Crawl - Toe Click,Ground Locomotion,Lateral / Multi-directional,
9,Monkey Crouch,Ground Locomotion,Lateral / Multi-directional,
10,Wallaby,Ground Locomotion,Quadrupedal Forward,
11,Surfer Crawl,Ground Locomotion,Lateral / Multi-directional,
12,Cat Crawl,Ground Locomotion,Quadrupedal Forward,
13,Cat Crawl - Spinal Wave,Ground Locomotion,Quadrupedal Forward,Spinal Mobility - Spinal Waves
14,Cross Step Lateral Crawl,Ground Locomotion,Lateral / Multi-directional,
15,Inchworm,Ground Locomotion,Quadrupedal Forward,
16,Crab Walk,Ground Locomotion,Lateral / Multi-directional,Spinal Mobility - Spinal Extension & Bridging
17,Cross Sweep,Ground Locomotion,Quadrupedal Forward,
18,Bridge Walk,Ground Locomotion,Lateral / Multi-directional,Spinal Mobility - Spinal Extension & Bridging
19,Kong,Ground Locomotion,Quadrupedal Forward,
20,Ape Crawl,Ground Locomotion,Quadrupedal Forward,
21,Lizard Crawl,Ground Locomotion,Quadrupedal Forward,
22,Lizard Crawl - Push Up,Ground Locomotion,Quadrupedal Forward,Pressing Strength - Horizontal Press
23,Lizard Crawl - High,Ground Locomotion,Quadrupedal Forward,
24,Lizard Crawl - Low,Ground Locomotion,Quadrupedal Forward,
25,Spiderman Crawl,Ground Locomotion,Quadrupedal Forward,
26,Duck Walk,Ground Locomotion,Bipedal Forward,
27,Scorpion Crawl,Ground Locomotion,Quadrupedal Forward,
28,Ostrich Walk,Ground Locomotion,Bipedal Forward,
29,Caterpillar Crawl,Ground Locomotion,Quadrupedal Forward,
30,Rabbit Crawl,Ground Locomotion,Quadrupedal Forward,
31,Tie the Knot,Ground Locomotion,Quadrupedal Forward,
32,Step Through,Ground Locomotion,Lateral / Multi-directional,
33,Horse Stance - Walk,Ground Locomotion,Bipedal Forward,Hip & Leg Mobility - Stance Positions
34,Walking Lunge,Loaded Lower Body Strength,Single-Leg Squat & Lunge,
35,Curtsey Twist,Ground Locomotion,Lateral / Multi-directional,
36,Broad Jump,Bounciness & Elastic Power,Horizontal Jump,
37,Broad Jump - Backwards,Bounciness & Elastic Power,Horizontal Jump,
38,Figure 8 Walk - Single Arm,Rhythm & Flow,Rhythmic Foundations,
39,Figure 8 Walk,Rhythm & Flow,Rhythmic Foundations,
40,Forward Backward Swing Walk,Rhythm & Flow,Rhythmic Foundations,
41,Teacup Walk,Rhythm & Flow,Rhythmic Foundations,
42,Single Leg Hops,Bounciness & Elastic Power,Vertical Jump,
43,Forward Skipping,Bounciness & Elastic Power,Vertical Jump,
44,,,,
45,Forward Roll,Ground Locomotion,Rolling Locomotion,
46,Backward Roll,Ground Locomotion,Rolling Locomotion,
47,Parkour Roll,Ground Locomotion,Rolling Locomotion,
48,Parkour Roll - Backward,Ground Locomotion,Rolling Locomotion,
49,Sideways Roll,Ground Locomotion,Rolling Locomotion,
50,Dive Roll,Ground Locomotion,Rolling Locomotion,
51,Vortex Roll,Ground Locomotion,Rolling Locomotion,
52,Falling Leaf,Ground Locomotion,Rolling Locomotion,
53,Handstand to Roll,Ground Locomotion,Rolling Locomotion,Hand Balancing & Inversion - Static Inversion
54,Belly to Belly Roll,Ground Locomotion,Rolling Locomotion,
55,,,,
56,Cartwheel,Inverted & Rotational Locomotion,Cartwheel Family,
57,Cartwheel - Mini,Inverted & Rotational Locomotion,Cartwheel Family,
58,Cartwheel - Lazy,Inverted & Rotational Locomotion,Cartwheel Family,
59,Cartwheel - One Arm,Inverted & Rotational Locomotion,Cartwheel Family,
60,Cartwheel - Clock,Inverted & Rotational Locomotion,Cartwheel Family,
61,Cartwheel - Jump,Inverted & Rotational Locomotion,Cartwheel Family,
62,Cartwheel - Bent,Inverted & Rotational Locomotion,Cartwheel Family,
