trait_order,trait,pathway_order,pathway
1,Hanging & Pulling Above the Bar,1,Passive / Active Hang
1,Hanging & Pulling Above the Bar,2,Vertical Pull
1,Hanging & Pulling Above the Bar,3,Horizontal Pull
1,Hanging & Pulling Above the Bar,4,Pull-to-Press Transition
2,Lever & Straight-Arm Body Control,1,Front Lever Line
2,Lever & Straight-Arm Body Control,2,Planche Line
2,Lever & Straight-Arm Body Control,3,Side Lever Line
3,Pressing Strength,1,Horizontal Press
3,Pressing Strength,2,Dip Press
3,Pressing Strength,3,Vertical Press
3,Pressing Strength,4,Bent-Arm to Straight-Arm Press
4,Hand Balancing & Inversion,1,Bent-Arm Balances
4,Hand Balancing & Inversion,2,Static Inversion
4,Hand Balancing & Inversion,3,Shaped Handstands
4,Hand Balancing & Inversion,4,Press Entries
5,Loaded Lower Body Strength,1,Bilateral Squat
5,Loaded Lower Body Strength,2,Single-Leg Squat
5,Loaded Lower Body Strength,3,Lateral / Mobility Squat
5,Loaded Lower Body Strength,4,Hip Hinge
5,Loaded Lower Body Strength,5,Posterior Chain (knee)
5,Loaded Lower Body Strength,6,Anterior Chain (knee)
6,Bounciness & Elastic Power,1,Vertical Jump
6,Bounciness & Elastic Power,2,Horizontal Jump
6,Bounciness & Elastic Power,3,Rotational / Kick Power
6,Bounciness & Elastic Power,4,Hand-Reactive Spring
7,Foundational Resting Positions,1,Squat Position
7,Foundational Resting Positions,2,Stance Positions
7,Foundational Resting Positions,3,Hip Opening (sagittal)
7,Foundational Resting Positions,4,Hip Opening (frontal)
7,Foundational Resting Positions,5,Spinal Extension
8,Spinal & Hip Articulation,1,Spinal Waves
8,Spinal & Hip Articulation,2,Bridge Articulation
8,Spinal & Hip Articulation,3,Hip Articulation
8,Spinal & Hip Articulation,4,Rotational Articulation
9,Inverted & Rotational Locomotion,1,Rolls
9,Inverted & Rotational Locomotion,2,Cartwheel Family
9,Inverted & Rotational Locomotion,3,Flips & Handsprings
9,Inverted & Rotational Locomotion,4,Capoeira Inversions
10,Ground Locomotion,1,Quadrupedal Forward
10,Ground Locomotion,2,Lateral / Multi-directional
10,Ground Locomotion,3,Rolling Locomotion
11,Hand-Eye Coordination & Object Manipulation,1,Juggling
11,Hand-Eye Coordination & Object Manipulation,2,Object Manipulation
11,Hand-Eye Coordination & Object Manipulation,3,Reactive Catching
11,Hand-Eye Coordination & Object Manipulation,4,Foot-Eye Cross
12,"Rhythm, Flow & Expression",1,Rhythmic Foundations
12,"Rhythm, Flow & Expression",2,Floor Flow
12,"Rhythm, Flow & Expression",3,Dance / Musical Movement

name,trait,pathway,level,is_anchor,class_types,regresses_from,progresses_to,equipment,notes,video_url
Dead Hang,Hanging & Pulling Above the Bar,Passive / Active Hang,1,FALSE,"Upper, Full",,Active Hang,Pull-up bar,Build grip endurance. Aim for 30-60s holds.,
Active Hang,Hanging & Pulling Above the Bar,Passive / Active Hang,2,FALSE,"Upper, Full",Dead Hang,Scap Pull,Pull-up bar,Engage shoulder blades down and back.,
Scap Pull,Hanging & Pulling Above the Bar,Passive / Active Hang,3,FALSE,"Upper, Full",Active Hang,One-Arm Hang,Pull-up bar,Isolates scap retraction without bending elbows.,
One-Arm Hang,Hanging & Pulling Above the Bar,Passive / Active Hang,7,FALSE,"Upper, Full",Scap Pull,One-Arm Active Hang,Pull-up bar,Requires significant grip and shoulder strength.,
One-Arm Active Hang,Hanging & Pulling Above the Bar,Passive / Active Hang,9,FALSE,Upper,One-Arm Hang,,Pull-up bar,Advanced - prerequisite for one-arm pull-up work.,
Jumping Pull Up,Hanging & Pulling Above the Bar,Vertical Pull,2,FALSE,"Upper, Full",,Chin Up,Pull-up bar,Use legs to assist; focus on slow eccentric.,
Chin Up,Hanging & Pulling Above the Bar,Vertical Pull,3,FALSE,"Upper, Full",Jumping Pull Up,Pull Up,Pull-up bar,Supinated grip. Often achievable before pull-up.,
Pull Up,Hanging & Pulling Above the Bar,Vertical Pull,4,FALSE,"Upper, Full",Chin Up,Weighted Pull Up,Pull-up bar,Pronated grip. Chest to bar for full range.,
Weighted Pull Up,Hanging & Pulling Above the Bar,Vertical Pull,6,FALSE,Upper,Pull Up,Archer Pull Up,"Pull-up bar, dip belt",Add 10-25% bodyweight to start.,
Archer Pull Up,Hanging & Pulling Above the Bar,Vertical Pull,8,FALSE,Upper,Weighted Pull Up,One-Arm Chin Up,Pull-up bar,One arm pulls while other assists at extension.,
One-Arm Chin Up,Hanging & Pulling Above the Bar,Vertical Pull,10,FALSE,Upper,Archer Pull Up,,Pull-up bar,Elite benchmark. Years of dedicated work.,
Inverted Row (high),Hanging & Pulling Above the Bar,Horizontal Pull,1,FALSE,"Upper, Full",,Ring Row,"Bar or rings, set high",Easiest horizontal pull - body nearly vertical.,
Ring Row,Hanging & Pulling Above the Bar,Horizontal Pull,2,FALSE,"Upper, Full",Inverted Row (high),Archer Row,Rings,Adjust difficulty by foot position.,
Archer Row,Hanging & Pulling Above the Bar,Horizontal Pull,5,FALSE,Upper,Ring Row,One-Arm Row,Rings,Shift weight to one arm at top.,
One-Arm Row,Hanging & Pulling Above the Bar,Horizontal Pull,7,FALSE,Upper,Archer Row,Front Lever Row,Rings,Full one-arm horizontal pull.,
Front Lever Row,Hanging & Pulling Above the Bar,Horizontal Pull,9,FALSE,Upper,One-Arm Row,,Rings,Row while maintaining front lever position.,
Bar Pull-Over,Hanging & Pulling Above the Bar,Pull-to-Press Transition,4,FALSE,Upper,,High Pull Up,Pull-up bar,Pull body up and over the bar.,
High Pull Up,Hanging & Pulling Above the Bar,Pull-to-Press Transition,5,FALSE,Upper,Bar Pull-Over,Muscle Up,Pull-up bar,Pull as high as possible - sternum or higher.,
Muscle Up,Hanging & Pulling Above the Bar,Pull-to-Press Transition,7,TRUE,"Upper, Full",High Pull Up,Ring Muscle Up,Pull-up bar,Anchor exercise. Pull-to-dip transition.,
Ring Muscle Up,Hanging & Pulling Above the Bar,Pull-to-Press Transition,9,FALSE,Upper,Muscle Up,,Rings,Harder transition due to ring instability.,
Tuck Lever,Lever & Straight-Arm Body Control,Front Lever Line,4,FALSE,Upper,,Adv Tuck Lever,Pull-up bar or rings,Knees to chest while horizontal.,
Adv Tuck Lever,Lever & Straight-Arm Body Control,Front Lever Line,6,FALSE,Upper,Tuck Lever,Single-Leg Lever,Pull-up bar or rings,Open hip angle while maintaining tucked knees.,
Single-Leg Lever,Lever & Straight-Arm Body Control,Front Lever Line,7,FALSE,Upper,Adv Tuck Lever,Straddle Front Lever,Pull-up bar or rings,One leg extended one tucked.,
Straddle Front Lever,Lever & Straight-Arm Body Control,Front Lever Line,8,FALSE,Upper,Single-Leg Lever,Full Front Lever,Pull-up bar or rings,Both legs extended in straddle.,
Full Front Lever,Lever & Straight-Arm Body Control,Front Lever Line,10,FALSE,Upper,Straddle Front Lever,,Pull-up bar or rings,Elite straight-arm pulling strength benchmark.,
Frog Stand,Lever & Straight-Arm Body Control,Planche Line,3,FALSE,"Upper, Full",,Tuck Planche,Floor,Knees rest on elbows. Foundation for planche.,
Tuck Planche,Lever & Straight-Arm Body Control,Planche Line,5,FALSE,Upper,Frog Stand,Adv Tuck Planche,Floor or parallettes,Knees off elbows fully tucked.,
Adv Tuck Planche,Lever & Straight-Arm Body Control,Planche Line,7,FALSE,Upper,Tuck Planche,Straddle Planche,Floor or parallettes,Hips open while knees tucked.,
Straddle Planche,Lever & Straight-Arm Body Control,Planche Line,9,FALSE,Upper,Adv Tuck Planche,Full Planche,Floor or parallettes,Legs straight in straddle.,
Full Planche,Lever & Straight-Arm Body Control,Planche Line,10,FALSE,Upper,Straddle Planche,,Floor or parallettes,Elite pressing/lever benchmark.,
Side Plank,Lever & Straight-Arm Body Control,Side Lever Line,1,FALSE,"Upper, Full",,Clutch Flag,Floor,Foundation for side lever work.,
Clutch Flag,Lever & Straight-Arm Body Control,Side Lever Line,4,FALSE,Upper,Side Plank,Tuck Flag,Vertical pole,Holds body horizontal with bent arms.,
Tuck Flag,Lever & Straight-Arm Body Control,Side Lever Line,6,FALSE,Upper,Clutch Flag,Straddle Flag,Vertical pole,Straight arms with knees tucked.,
Straddle Flag,Lever & Straight-Arm Body Control,Side Lever Line,8,FALSE,Upper,Tuck Flag,Human Flag,Vertical pole,Straight arms straddled legs.,
Human Flag,Lever & Straight-Arm Body Control,Side Lever Line,9,TRUE,Upper,Straddle Flag,,Vertical pole,Anchor exercise. Full body horizontal hold.,
Incline Push Up,Pressing Strength,Horizontal Press,1,FALSE,"Upper, Full",,Push Up,Bench or wall,Hands elevated to reduce load.,
Push Up,Pressing Strength,Horizontal Press,3,FALSE,"Upper, Full",Incline Push Up,Pseudo Planche Push Up,Floor,Foundational pressing pattern.,
Pseudo Planche Push Up,Pressing Strength,Horizontal Press,5,FALSE,Upper,Push Up,Ring Push Up,Floor or parallettes,Hands at hips lean forward.,
Ring Push Up,Pressing Strength,Horizontal Press,6,FALSE,Upper,Pseudo Planche Push Up,Planche Push Up,Rings,Adds instability demand.,
Planche Push Up,Pressing Strength,Horizontal Press,9,FALSE,Upper,Ring Push Up,,Floor or parallettes,Pressing with feet off ground.,
Bench Dip,Pressing Strength,Dip Press,2,FALSE,"Upper, Full",,Parallel Bar Dip,Bench,Tricep-dominant entry-level dip.,
Parallel Bar Dip,Pressing Strength,Dip Press,4,FALSE,"Upper, Full",Bench Dip,Ring Dip,Parallel bars,Full body weight on parallel bars.,
Ring Dip,Pressing Strength,Dip Press,5,FALSE,Upper,Parallel Bar Dip,Weighted Ring Dip,Rings,Adds shoulder stability demand.,
Weighted Ring Dip,Pressing Strength,Dip Press,7,FALSE,Upper,Ring Dip,Deep Ring Dip,"Rings, dip belt",Add load progressively.,
Deep Ring Dip,Pressing Strength,Dip Press,8,FALSE,Upper,Weighted Ring Dip,,Rings,Full depth chest to rings.,
Pike Push Up,Pressing Strength,Vertical Press,3,FALSE,"Upper, Full",,Wall HSPU (high),Floor,Hips piked - approximates overhead press.,
Wall HSPU (high),Pressing Strength,Vertical Press,5,FALSE,Upper,Pike Push Up,Wall HSPU (full ROM),Wall,Partial range overhead press inverted.,
Wall HSPU (full ROM),Pressing Strength,Vertical Press,6,FALSE,Upper,Wall HSPU (high),Free HSPU,Wall,Head to floor full range.,
Free HSPU,Pressing Strength,Vertical Press,8,FALSE,Upper,Wall HSPU (full ROM),One-Arm HSPU,Floor,Freestanding handstand push-up.,
One-Arm HSPU,Pressing Strength,Vertical Press,10,FALSE,Upper,Free HSPU,,Floor,Elite pressing benchmark.,
Crow to Headstand,Pressing Strength,Bent-Arm to Straight-Arm Press,5,FALSE,Upper,,Headstand Press,Floor or mat,Press from crow to headstand.,
Headstand Press,Pressing Strength,Bent-Arm to Straight-Arm Press,6,FALSE,Upper,Crow to Headstand,Stalder Press (bent),Floor or mat,Lower and press from headstand position.,
Stalder Press (bent),Pressing Strength,Bent-Arm to Straight-Arm Press,8,FALSE,Upper,Headstand Press,Press to Handstand,Floor,Bent-leg straddle press.,
Press to Handstand,Pressing Strength,Bent-Arm to Straight-Arm Press,9,TRUE,Upper,Stalder Press (bent),One-Arm Press,Floor,Anchor exercise. Straight-arm straight-leg press.,
One-Arm Press,Pressing Strength,Bent-Arm to Straight-Arm Press,10,FALSE,Upper,Press to Handstand,,Floor,Elite handstand pressing benchmark.,
Frog Stand,Hand Balancing & Inversion,Bent-Arm Balances,3,FALSE,Upper,,Crow Pose,Floor,Same as planche line frog stand.,
Crow Pose,Hand Balancing & Inversion,Bent-Arm Balances,4,FALSE,Upper,Frog Stand,Croc Pose,Floor,Knees on triceps not elbows.,
Croc Pose,Hand Balancing & Inversion,Bent-Arm Balances,6,FALSE,Upper,Crow Pose,QDR Pose,Floor,Lower body parallel to floor.,
